,ex_name,multi_ex,3>=family_num>=2,family_num=1,family_num>3,all,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_type,order_waitlist_ratio,order_k,policy_type,group_policy_type,group_policy_portion_settings,group_policy_portion_attribute,group_policy_priority,tenant_max_choose,community_patch_method
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,False,,,,138.6375833333333,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,random_avg
Rop,ver1_nofilter_multilist(1.2)_portion(f_member_num)_priority_8t_6h_p#random_avg,False,,,,36.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,random_avg
mean_house_area,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,True,20.2339$\pm$0.1223,45.0243$\pm$0.1423,14.2674$\pm$0.7159,23.5102$\pm$1.3173,8.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,True,1.1738$\pm$0.0405,1.1000$\pm$0.1000,1.5333$\pm$0.1333,1.2223$\pm$0.0049,8.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,118.1596$\pm$11.5167,8.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,51.5000$\pm$6.5000,8.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,True,20.9867$\pm$0.5744,39.2481$\pm$1.1161,13.4537$\pm$0.3475,24.5739$\pm$0.4580,9.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,True,1.4167$\pm$0.0833,1.6714$\pm$0.4714,1.1667$\pm$0.1667,1.4464$\pm$0.1832,9.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,97.9977$\pm$13.3472,9.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,19.5000$\pm$5.5000,9.5000$\pm$0.5000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,False,20.32619047619048,39.98833333333334,13.016428571428571,22.80043209876544,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,False,2.2142857142857144,1.8333333333333333,1.7142857142857142,2.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,False,,,,110.08726164456638,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,False,,,,67.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_rent_money,False,22.129895833333336,39.330000000000005,12.336875,24.592532051282053,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_rent_money,False,2.125,1.6666666666666667,1.0,1.8461538461538465,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_rent_money,False,,,,92.13514479063936,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_rent_money,False,,,,43.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_income,True,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,21.2959$\pm$0.2336,38.4117$\pm$0.6543,13.7830$\pm$0.1315,22.7637$\pm$1.1281,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,1.2364$\pm$0.0364,2.3500$\pm$0.1500,1.4286$\pm$0.4286,1.5027$\pm$0.0742,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,80.0979$\pm$13.4018,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,15.0000$\pm$4.0000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,21.3434$\pm$0.4156,40.1920$\pm$1.2720,13.5828$\pm$0.7177,24.1040$\pm$2.4043,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,1.5737$\pm$0.3737,2.1667$\pm$0.1667,2.0500$\pm$0.5500,1.7908$\pm$0.3203,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,87.4243$\pm$31.1084,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,nan$\pm$nan,nan$\pm$nan,nan$\pm$nan,36.5000$\pm$11.5000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,False,22.007291666666667,39.81857142857143,13.177499999999998,26.71043859649123,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,random_avg
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,False,2.75,1.2857142857142858,3.75,2.421052631578948,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,random_avg
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,False,,,,125.31788767313024,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,random_avg
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,False,,,,18.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2.0,random_avg
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,20.43583333333333,38.39333333333334,13.797,21.46975,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,2.0,1.3333333333333333,2.0,1.9,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,,,,72.97934063194445,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,,,,20.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,20.785694444444445,39.345,13.776428571428571,21.88014492753623,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,1.5833333333333333,1.75,1.8571428571428568,1.6956521739130437,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,,,,90.29225354179796,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,,,,30.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,False,21.98333333333333,42.12166666666666,14.635,29.54877777777778,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,random_avg
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,False,2.875,1.8333333333333333,4.0,2.533333333333333,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,random_avg
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,False,,,,122.09599313580244,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,random_avg
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,False,,,,12.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2.0,random_avg
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,21.56809523809524,39.48571428571428,14.347,25.00339743589744,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,2.642857142857143,1.7142857142857142,3.0,2.4615384615384617,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,,,,95.51015608563443,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,,,,18.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,21.06428571428572,39.95285714285715,14.044999999999998,25.230000000000004,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,2.2857142857142856,3.142857142857143,2.25,2.52,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,,,,107.97558688888888,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,,,,43.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,20.58430555555556,40.08166666666666,14.886666666666663,25.34103174603175,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,2.333333333333333,2.5,3.333333333333333,2.523809523809524,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,,,,105.54546679264298,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,False,,,,14.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,21.35833333333333,39.405,13.442857142857145,23.316543209876546,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,1.8571428571428568,1.6666666666666667,1.7142857142857142,1.7777777777777777,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,,,,95.58046850327692,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,False,,,,46.0,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion5(f_member_num)_priority_8t_6h_p#portion_housesize,False,22.34030303030303,40.42142857142857,14.886666666666663,27.302539682539685,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.2, 0.2, 0.2, 0.2]",family_members_num,True,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion5(f_member_num)_priority_8t_6h_p#portion_housesize,False,1.5454545454545454,1.2857142857142858,3.6666666666666665,1.761904761904762,10.0,6.0,1.0,8.0,1.0,10.0,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.2, 0.2, 0.2, 0.2]",family_members_num,True,2.0,portion_housesize
