type_indicator,ex_name,3>=family_num>=2,family_num=1,family_num>3,all,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_type,order_waitlist_ratio,order_k,policy_type,group_policy_type,group_policy_portion_settings,group_policy_portion_attribute,group_policy_priority,tenant_max_choose,community_patch_method
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,2.2857142857142856,3.142857142857143,2.25,2.52,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,107.97558688888888,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,,,,43.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",family_members_num,True,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,20.261666666666667,42.118,14.377,23.113750000000003,8,6,1,8,1,10,kwaitlist,1.5,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,1.5,2.0,1.4,1.5714285714285714,8,6,1,8,1,10,kwaitlist,1.5,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,,,,90.32077234623016,8,6,1,8,1,10,kwaitlist,1.5,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
Rop,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,,,,27.0,8,6,1,8,1,10,kwaitlist,1.5,2.0,ver1,portion,"[0.3, 0.4, 0.3]",family_members_num,True,2,portion_housesize
mean_house_area,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,22.383333333333333,41.79166666666666,14.816666666666668,27.070833333333333,10,6,1,8,1,10,kwaitlist,1.8,1.0,ver2,house_type,,,True,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1.7272727272727273,1.1666666666666667,2.0,1.6,10,6,1,8,1,10,kwaitlist,1.8,1.0,ver2,house_type,,,True,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,118.99359263888888,10,6,1,8,1,10,kwaitlist,1.8,1.0,ver2,house_type,,,True,3,house_type
Rop,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,21.0,10,6,1,8,1,10,kwaitlist,1.8,1.0,ver2,house_type,,,True,3,house_type
mean_house_area,ver1_nofilter_singlelist_5t_3h_p#singlelist,20.503888888888888,41.184,12.789583333333336,22.70060897435897,10,3,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_5t_3h_p#singlelist,1.2666666666666666,1.2,1.5,1.3076923076923077,10,3,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_5t_3h_p#singlelist,,,,105.72751108748358,10,3,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
Rop,ver1_nofilter_singlelist_5t_3h_p#singlelist,,,,75.0,10,3,1,5,1,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_house_area,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,20.179111111111112,40.502,14.4125,23.451944444444447,10,6,1,8,1,10,kwaitlist,1.2,1.0,ver2,house_type,,,True,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,2.0,1.8,2.25,2.0,10,6,1,8,1,10,kwaitlist,1.2,1.0,ver2,house_type,,,True,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,104.0789075617284,10,6,1,8,1,10,kwaitlist,1.2,1.0,ver2,house_type,,,True,3,house_type
Rop,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,49.0,10,6,1,8,1,10,kwaitlist,1.2,1.0,ver2,house_type,,,True,3,house_type
mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,19.593333333333334,40.692,13.473214285714288,22.00304487179487,10,6,1,2,3,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,2.7857142857142856,3.0,2.7142857142857144,2.8076923076923075,10,6,1,2,3,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,,,,105.8707553922173,10,6,1,2,3,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
Rop,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,,,,63.0,10,6,1,2,3,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_house_area,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,23.664666666666665,47.096,15.275,28.77509259259259,10,6,1,8,1,10,kwaitlist,1.5,1.0,ver2,house_type,,,True,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1.6,2.0,3.6666666666666665,2.055555555555556,10,6,1,8,1,10,kwaitlist,1.5,1.0,ver2,house_type,,,True,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,190.155794590192,10,6,1,8,1,10,kwaitlist,1.5,1.0,ver2,house_type,,,True,3,house_type
Rop,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,27.0,10,6,1,8,1,10,kwaitlist,1.5,1.0,ver2,house_type,,,True,3,house_type
mean_house_area,ver1_nofilter_multilist(1.5)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,20.25075757575757,42.862,12.94375,22.52576388888889,10,6,1,8,1,10,kwaitlist,1.5,,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.5)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,1.5454545454545454,1.6,1.625,1.5833333333333333,10,6,1,8,1,10,kwaitlist,1.5,,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.5)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,,,,124.699637263696,10,6,1,8,1,10,kwaitlist,1.5,,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.5)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,,,,52.0,10,6,1,8,1,10,kwaitlist,1.5,,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
mean_house_area,ver1_nofilter_singlelist_4t_6h(step_num(t2_h1))_p#singlelist,19.990092592592596,42.475,13.2525,22.07348765432099,10,6,1,4,2,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_4t_6h(step_num(t2_h1))_p#singlelist,1.8333333333333333,2.0,2.8,2.037037037037037,10,6,1,4,2,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_4t_6h(step_num(t2_h1))_p#singlelist,,,,89.34739742988876,10,6,1,4,2,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
Rop,ver1_nofilter_singlelist_4t_6h(step_num(t2_h1))_p#singlelist,,,,65.0,10,6,1,4,2,10,kwaitlist,1.2,2.0,ver1,single_list,,,,2,single_list
mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,21.561111111111103,38.132,13.10625,25.03188596491228,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,1.3333333333333333,1.2,1.0,1.263157894736842,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,,,,84.6504934095106,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,,,,14.0,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,20.41238095238095,40.364285714285714,13.80125,24.11595679012345,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,1.5,2.142857142857143,1.3333333333333333,1.6296296296296295,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,,,,111.34483553002592,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,,,,25.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.5, 0.5]",family_members_num,True,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,21.35833333333333,39.405,13.442857142857145,23.316543209876546,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,1.8571428571428568,1.6666666666666667,1.7142857142857142,1.7777777777777777,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,,,,95.58046850327692,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion4(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,,,,46.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.2, 0.3, 0.3, 0.2]",monthly_rent_budget,True,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,20.43583333333333,38.39333333333334,13.797,21.46975,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,2.0,1.3333333333333333,2.0,1.9,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,,,,72.97934063194445,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,,,,20.0,10,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,"[0.3, 0.4, 0.3]",monthly_rent_budget,True,2,portion_housesize
mean_house_area,ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,22.954166666666666,42.855,14.97,27.137543859649124,10,6,1,8,1,10,kwaitlist,1.8,3.0,ver2,house_type,,,True,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,1.25,1.3333333333333333,2.6,1.631578947368421,10,6,1,8,1,10,kwaitlist,1.8,3.0,ver2,house_type,,,True,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,166.09027437673132,10,6,1,8,1,10,kwaitlist,1.8,3.0,ver2,house_type,,,True,3,house_type
Rop,ver2_nofilter_multilist(1.8_k3)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,,,,23.0,10,6,1,8,1,10,kwaitlist,1.8,3.0,ver2,house_type,,,True,3,house_type
mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,19.239270833333336,41.795,13.22375,22.78360119047619,7,6,1,8,1,10,kwaitlist,1.5,,ver2,house_type,,,True,2,house_type
mean_wait_turn,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,1.4375,1.1666666666666667,1.1666666666666667,1.3214285714285714,7,6,1,8,1,10,kwaitlist,1.5,,ver2,house_type,,,True,2,house_type
var_mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,,,,115.23923685781604,7,6,1,8,1,10,kwaitlist,1.5,,ver2,house_type,,,True,2,house_type
Rop,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose2,,,,62.0,7,6,1,8,1,10,kwaitlist,1.5,,ver2,house_type,,,True,2,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,20.35619047619048,45.16666666666666,13.5515,22.192916666666665,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,1.2142857142857142,1.0,1.4,1.2272727272727273,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,,,,106.64286576704544,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,,,,45.0,9,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,20.11155555555556,44.882,14.983333333333334,24.827536231884057,8,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,1.1333333333333333,1.2,1.6666666666666667,1.2173913043478262,8,6,1,8,1,10,kwaitlist,1.2,2.0,ver1,portion,[1],family_members_num,True,2,portion_housesize
