type_indicator,ex_name,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_portion_settings,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method
mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,3,20.052291666666665,44.042,13.047,23.31852564102564,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,3,2.25,2.4,2.6,2.3461538461538463,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_idle_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,3,2.25,2.2,2.4,2.269230769230769,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,3,,,,120.02789403353056,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
Rop,ver1_nofilter_singlelist_5t_6h_p#singlelist,3,,,,70.0,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,4,19.446428571428573,42.78,13.6855,23.8943,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,4,2.571428571428572,2.333333333333333,2.6,2.52,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_idle_wait_turn,ver1_nofilter_singlelist_5t_6h_p#singlelist,4,2.2857142857142856,2.1666666666666665,2.6,2.32,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_5t_6h_p#singlelist,4,,,,127.54813109333334,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
Rop,ver1_nofilter_singlelist_5t_6h_p#singlelist,4,,,,48.0,1,10,6,1,5,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,5,21.955952380952372,39.106,14.003333333333336,26.08211111111111,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,5,1.4285714285714286,2.2,1.3333333333333333,1.6666666666666667,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_housesize
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,5,1.1428571428571428,2.2,1.0,1.4666666666666666,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,5,,,,107.83833387654322,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,5,,,,5.0,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,6,20.71364583333333,36.07,14.071666666666664,20.96233333333333,3,8,6,1,8,1,10,2,kwaitlist,1.8,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,6,1.375,2.0,1.6666666666666667,1.52,3,8,6,1,8,1,10,2,kwaitlist,1.8,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
mean_idle_wait_turn,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,6,1.375,2.0,1.5,1.48,3,8,6,1,8,1,10,2,kwaitlist,1.8,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,6,,,,46.87804416666667,3,8,6,1,8,1,10,2,kwaitlist,1.8,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
Rop,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,6,,,,13.0,3,8,6,1,8,1,10,2,kwaitlist,1.8,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7,22.131041666666665,40.16875,14.178125,26.148541666666667,3,6,6,1,8,1,10,2,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7,2.125,1.25,2.75,1.9642857142857144,3,6,6,1,8,1,10,2,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7,1.5625,1.0,2.25,1.5,3,6,6,1,8,1,10,2,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7,,,,102.78886029885908,3,6,6,1,8,1,10,2,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
Rop,ver2_nofilter_multilist(1.5_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,7,,,,36.0,3,6,6,1,8,1,10,2,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,8,21.125,39.32,13.0775,23.661875,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver2,,priority,house_type,2,portion_housesize
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,8,2.125,2.5,2.0,2.1875,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver2,,priority,house_type,2,portion_housesize
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,8,1.375,2.5,1.25,1.625,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver2,,priority,house_type,2,portion_housesize
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,8,,,,111.2744711371528,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver2,,priority,house_type,2,portion_housesize
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_priority_8t_6h(step_num(t1_h1))_p#portion_housesize,8,,,,26.0,3,9,6,1,8,1,10,2,kwaitlist,1.2,ver2,,priority,house_type,2,portion_housesize
mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,9,20.735714285714288,41.17375,12.993125,25.83317307692308,1,10,6,1,1,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,9,3.928571428571429,3.875,4.25,3.9615384615384617,1,10,6,1,1,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_idle_wait_turn,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,9,3.857142857142857,3.625,4.0,3.807692307692308,1,10,6,1,1,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,9,,,,127.52472425316404,1,10,6,1,1,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
Rop,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,9,,,,59.0,1,10,6,1,1,1,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#portion_rentmoney,10,21.92083333333333,40.2925,14.27375,24.601979166666663,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#portion_rentmoney,10,1.25,2.75,1.5,1.6875,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#portion_rentmoney,10,1.25,2.25,1.25,1.5,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#portion_rentmoney,10,,,,107.17332056206595,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_multilist_nopriority_8t_6h_p#portion_rentmoney,10,,,,8.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,11,20.70095238095238,39.63666666666666,14.338125000000002,24.37440972222222,4,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.2, 0.3, 0.3, 0.2]",priority,portionfamily_members_num,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,11,1.5714285714285714,1.5,2.5,1.7083333333333333,4,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.2, 0.3, 0.3, 0.2]",priority,portionfamily_members_num,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,11,1.4285714285714286,1.5,2.25,1.5833333333333333,4,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.2, 0.3, 0.3, 0.2]",priority,portionfamily_members_num,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,11,,,,95.97391148606287,4,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.2, 0.3, 0.3, 0.2]",priority,portionfamily_members_num,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,11,,,,27.0,4,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.2, 0.3, 0.3, 0.2]",priority,portionfamily_members_num,2,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,12,20.74892156862745,38.2825,13.216666666666669,21.67265432098765,3,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,12,1.411764705882353,2.0,2.1666666666666665,1.6666666666666667,3,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
mean_idle_wait_turn,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,12,1.2352941176470589,1.75,2.1666666666666665,1.5185185185185186,3,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,12,,,,67.97299979614388,3,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
Rop,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,12,,,,45.0,3,10,6,1,8,1,10,2,kwaitlist,1.5,ver1,"[0.3, 0.4, 0.3]",priority,portionfamily_members_num,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,13,21.724444444444444,40.2925,14.966666666666669,25.878205128205124,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,housing_points,multi_list,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,13,1.6666666666666667,3.25,1.3333333333333333,2.076923076923077,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,housing_points,multi_list,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,13,1.5,2.25,1.0,1.6153846153846154,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,housing_points,multi_list,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,13,,,,117.59401985535828,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,housing_points,multi_list,2,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_multilist_housing_points_8t_6h_p#portion_rentmoney,13,,,,4.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,housing_points,multi_list,2,portion_rentmoney
mean_house_area,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,14,20.62264705882353,40.682857142857145,14.0,24.691607142857144,3,7,6,1,8,1,10,1,kwaitlist,1.8,ver2,,priority,house_type,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,14,1.7647058823529411,1.2857142857142858,2.0,1.6785714285714286,3,7,6,1,8,1,10,1,kwaitlist,1.8,ver2,,priority,house_type,3,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,14,1.2941176470588236,1.1428571428571428,2.0,1.3571428571428572,3,7,6,1,8,1,10,1,kwaitlist,1.8,ver2,,priority,house_type,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,14,,,,111.55891557185372,3,7,6,1,8,1,10,1,kwaitlist,1.8,ver2,,priority,house_type,3,house_type
Rop,ver2_nofilter_multilist(1.8_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,14,,,,63.0,3,7,6,1,8,1,10,1,kwaitlist,1.8,ver2,,priority,house_type,3,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,15,22.076041666666665,43.25142857142857,12.055,25.58041666666666,3,8,6,1,8,1,10,1,kwaitlist,1.2,ver2,,priority,house_type,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,15,2.125,2.0,2.0,2.071428571428572,3,8,6,1,8,1,10,1,kwaitlist,1.2,ver2,,priority,house_type,3,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,15,2.0,1.4285714285714286,2.0,1.8571428571428568,3,8,6,1,8,1,10,1,kwaitlist,1.2,ver2,,priority,house_type,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,15,,,,127.43302274305556,3,8,6,1,8,1,10,1,kwaitlist,1.2,ver2,,priority,house_type,3,house_type
Rop,ver2_nofilter_multilist(1.2_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,15,,,,82.0,3,8,6,1,8,1,10,1,kwaitlist,1.2,ver2,,priority,house_type,3,house_type
mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,16,19.53322222222222,40.33800000000001,13.103,22.408133333333332,1,10,6,1,2,3,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_wait_turn,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,16,2.8666666666666667,2.4,3.2,2.84,1,10,6,1,2,3,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_idle_wait_turn,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,16,2.6,2.4,3.0,2.64,1,10,6,1,2,3,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
var_mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,16,,,,102.0179426822222,1,10,6,1,2,3,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
Rop,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,16,,,,50.0,1,10,6,1,2,3,10,2,kwaitlist,1.2,ver1,,base,single_list,2,single_list
mean_house_area,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,17,20.983854166666667,39.71142857142858,14.61,24.52755952380952,3,7,6,1,8,1,10,1,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
mean_wait_turn,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,17,1.625,1.0,2.4,1.6071428571428572,3,7,6,1,8,1,10,1,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,17,1.4375,1.0,2.0,1.4285714285714286,3,7,6,1,8,1,10,1,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
var_mean_house_area,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,17,,,,97.46017489725058,3,7,6,1,8,1,10,1,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
Rop,ver2_nofilter_multilist(1.5_k1)_housetype_priority_8t_6h(step_num(t1_h1))_p#housetype_choose3,17,,,,30.0,3,7,6,1,8,1,10,1,kwaitlist,1.5,ver2,,priority,house_type,3,house_type
mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,18,21.9109649122807,39.26833333333333,13.891666666666666,24.771190476190476,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver2,,housing_points,house_type,2,house_type
mean_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,18,1.947368421052632,1.5,2.0,1.8571428571428568,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver2,,housing_points,house_type,2,house_type
mean_idle_wait_turn,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,18,1.947368421052632,1.3333333333333333,2.0,1.8214285714285716,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver2,,housing_points,house_type,2,house_type
var_mean_house_area,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,18,,,,78.8498412414966,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver2,,housing_points,house_type,2,house_type
Rop,ver2_nofilter_multilist(1.2_k2)_housetype_housing_points_8t_6h(step_num(t1_h1))_p#housetype_choose2,18,,,,40.0,3,8,6,1,8,1,10,2,kwaitlist,1.2,ver2,,housing_points,house_type,2,house_type
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_nopriority_8t_6h_p#portion_housesize,19,19.650111111111112,39.424,14.247,22.524266666666666,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_nopriority_8t_6h_p#portion_housesize,19,1.8,1.4,1.4,1.64,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_nopriority_8t_6h_p#portion_housesize,19,1.5333333333333334,1.2,1.4,1.44,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_nopriority_8t_6h_p#portion_housesize,19,,,,93.21472601777776,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_nopriority_8t_6h_p#portion_housesize,19,,,,34.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,20,20.074777777777776,39.086,12.8495,22.431966666666668,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,20,1.8,1.2,1.0,1.52,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,20,1.5333333333333334,1.2,1.0,1.36,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,20,,,,93.50373560444444,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_earn_money)_priority_8t_6h_p#portion_housesize,20,,,,43.0,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,"[0.3, 0.4, 0.3]",priority,portionmonthly_income,2,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,21,21.628125,40.2925,15.02833333333333,25.285333333333327,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,21,1.375,2.75,2.333333333333333,1.9333333333333331,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
mean_idle_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,21,1.25,2.25,1.3333333333333333,1.5333333333333334,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,21,,,,104.36167896296296,3,10,6,1,8,1,10,2,kwaitlist,1.2,ver1,,priority,multi_list,2,portion_rentmoney
