,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,group_size,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_sorting_type,group_policy_type,tenant_max_choose,community_patch_method,group_policy_portion_settings,group_policy_priority
mean_wait_turn,optimized_task_config_27,False,100.0,1.75,1.8333333333333333,1.6666666666666667,1.75,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_27,False,100.0,1.75,1.8333333333333333,1.6666666666666667,1.75,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_27,False,100.0,,,,90.86887580428004,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_27,False,100.0,,,,44.0,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_28,False,108.0,19.665000000000003,40.388333333333335,13.799375,22.429821428571422,3.0,9.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_28,False,108.0,1.5714285714285714,1.3333333333333333,2.0,1.6428571428571428,3.0,9.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_28,False,108.0,1.5714285714285714,1.3333333333333333,1.5,1.5,3.0,9.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_28,False,108.0,,,,107.05166197208052,3.0,9.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_28,False,108.0,,,,49.0,3.0,9.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_29,False,117.0,20.18955555555556,39.355,13.106,23.25012820512821,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_29,False,117.0,1.6666666666666667,2.0,1.2,1.6538461538461535,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_29,False,117.0,1.6666666666666667,1.6666666666666667,1.2,1.5769230769230769,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_29,False,117.0,,,,97.1830021203156,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_29,False,117.0,,,,36.0,3.0,10.0,3.0,2.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_30,False,21.0,20.89480392156863,39.658,13.284166666666666,22.614523809523806,3.0,8.0,6.0,1.0,8.0,1.0,11.0,2.0,kwaitlist,,ver2,base,house_type,3.0,house_type,,
mean_wait_turn,optimized_task_config_30,False,21.0,2.7058823529411766,1.8,1.6666666666666667,2.321428571428572,3.0,8.0,6.0,1.0,8.0,1.0,11.0,2.0,kwaitlist,,ver2,base,house_type,3.0,house_type,,
mean_idle_wait_turn,optimized_task_config_30,False,21.0,2.4705882352941178,1.2,1.6666666666666667,2.071428571428572,3.0,8.0,6.0,1.0,8.0,1.0,11.0,2.0,kwaitlist,,ver2,base,house_type,3.0,house_type,,
var_mean_house_area,optimized_task_config_30,False,21.0,,,,87.3333566680839,3.0,8.0,6.0,1.0,8.0,1.0,11.0,2.0,kwaitlist,,ver2,base,house_type,3.0,house_type,,
Rop,optimized_task_config_30,False,21.0,,,,54.0,3.0,8.0,6.0,1.0,8.0,1.0,11.0,2.0,kwaitlist,,ver2,base,house_type,3.0,house_type,,
mean_house_area,optimized_task_config_31,False,22.0,20.651666666666664,40.72142857142857,13.617857142857144,23.91065476190476,3.0,9.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_31,False,22.0,3.071428571428572,1.5714285714285714,2.0,2.4285714285714284,3.0,9.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_31,False,22.0,2.7857142857142856,1.4285714285714286,1.8571428571428568,2.2142857142857144,3.0,9.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_31,False,22.0,,,,114.31515284509638,3.0,9.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_31,False,22.0,,,,48.0,3.0,9.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_32,False,25.0,19.869607843137256,39.895,13.937083333333334,21.51799382716049,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_32,False,25.0,2.235294117647059,1.75,2.5,2.2222222222222223,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_32,False,25.0,1.9411764705882355,1.75,2.5,2.037037037037037,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_32,False,25.0,,,,76.11313581580552,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_32,False,25.0,,,,31.0,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_33,False,129.0,19.971666666666668,42.94,14.891666666666667,23.94685185185185,3.0,10.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_33,False,129.0,2.6,2.0,2.1666666666666665,2.3703703703703702,3.0,10.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_33,False,129.0,2.2,1.8333333333333333,1.5,1.962962962962963,3.0,10.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_33,False,129.0,,,,114.70258689986284,3.0,10.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_33,False,129.0,,,,43.0,3.0,10.0,7.0,1.0,8.0,1.0,10.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_34,False,32.0,20.539761904761907,43.575,13.367583333333334,24.200467948717947,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_34,False,32.0,2.4285714285714284,1.8333333333333333,3.8333333333333335,2.6153846153846154,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_34,False,32.0,2.0,1.3333333333333333,3.0,2.076923076923077,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_34,False,32.0,,,,127.17805632910093,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_34,False,32.0,,,,62.0,3.0,10.0,7.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_35,False,87.0,20.42302083333333,42.836666666666666,13.476666666666668,23.73744047619048,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_35,False,87.0,2.0625,1.5,1.8333333333333333,1.8928571428571428,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_35,False,87.0,1.875,1.5,1.8333333333333333,1.7857142857142858,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_35,False,87.0,,,,120.1400459289966,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_35,False,87.0,,,,65.0,3.0,7.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_36,False,69.0,20.931944444444444,40.762,14.304166666666667,24.425098039215687,3.0,9.0,6.0,2.0,8.0,1.0,9.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_36,False,69.0,4.0,4.0,3.0,3.647058823529412,3.0,9.0,6.0,2.0,8.0,1.0,9.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_36,False,69.0,4.0,3.8,2.5,3.411764705882353,3.0,9.0,6.0,2.0,8.0,1.0,9.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_36,False,69.0,,,,126.53782074202228,3.0,9.0,6.0,2.0,8.0,1.0,9.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
Rop,optimized_task_config_36,False,69.0,,,,9.0,3.0,9.0,6.0,2.0,8.0,1.0,9.0,3.0,kwaitlist,,ver1,base,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_51,False,26.0,20.569444444444443,39.844,14.385,22.90696428571428,3.0,10.0,6.0,1.0,8.0,1.0,11.0,3.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_51,False,26.0,2.5,3.0,1.6,2.4285714285714284,3.0,10.0,6.0,1.0,8.0,1.0,11.0,3.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_51,False,26.0,2.1666666666666665,1.6,1.6,1.9642857142857144,3.0,10.0,6.0,1.0,8.0,1.0,11.0,3.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_51,False,26.0,,,,79.78591885983562,3.0,10.0,6.0,1.0,8.0,1.0,11.0,3.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
Rop,optimized_task_config_51,False,26.0,,,,28.0,3.0,10.0,6.0,1.0,8.0,1.0,11.0,3.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_52,False,8.0,20.765520833333333,42.46666666666666,13.344666666666669,23.825583333333327,3.0,10.0,6.0,1.0,8.0,1.0,11.0,4.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
mean_wait_turn,optimized_task_config_52,False,8.0,2.6875,2.5,3.333333333333333,2.7857142857142856,3.0,10.0,6.0,1.0,8.0,1.0,11.0,4.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
mean_idle_wait_turn,optimized_task_config_52,False,8.0,2.5,1.5,2.6666666666666665,2.321428571428572,3.0,10.0,6.0,1.0,8.0,1.0,11.0,4.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
var_mean_house_area,optimized_task_config_52,False,8.0,,,,109.56050938591268,3.0,10.0,6.0,1.0,8.0,1.0,11.0,4.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
Rop,optimized_task_config_52,False,8.0,,,,46.0,3.0,10.0,6.0,1.0,8.0,1.0,11.0,4.0,kwaitlist,,ver1,priority,house_type,5.0,house_type,,
mean_house_area,optimized_task_config_53,False,2.0,23.15055555555556,43.61,11.1875,27.97652777777777,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_53,False,2.0,1.6666666666666667,1.0,2.0,1.5,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_53,False,2.0,1.6666666666666667,1.0,2.0,1.5,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_53,False,2.0,,,,141.97207000385805,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_53,False,2.0,,,,3.0,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_54,False,115.0,24.633333333333336,,12.1875,21.521875,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_54,False,115.0,1.3333333333333333,,1.0,1.25,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_54,False,115.0,1.0,,1.0,1.0,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_54,False,115.0,,,,44.161435546875,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_54,False,115.0,,,,3.0,3.0,2.0,3.0,1.0,8.0,3.0,11.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_55,False,77.0,21.84166666666667,36.13,15.025,26.193666666666665,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_55,False,77.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_55,False,77.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_55,False,77.0,,,,102.5555271111111,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_55,False,77.0,,,,0.0,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_56,False,45.0,21.35833333333333,41.325,14.375,27.94833333333333,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_56,False,45.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_56,False,45.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_56,False,45.0,,,,130.33334444444444,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_56,False,45.0,,,,2.0,3.0,1.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_57,False,23.0,22.2675,43.400000000000006,11.075,28.482,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_57,False,23.0,1.5,1.0,1.0,1.2,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_57,False,23.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_57,False,23.0,,,,167.700046,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_57,False,23.0,,,,3.0,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_58,False,29.0,22.024166666666662,44.505,,33.264583333333334,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_58,False,29.0,1.0,2.0,,1.5,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_58,False,29.0,1.0,1.0,,1.0,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_58,False,29.0,,,,129.49912135416668,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_58,False,29.0,,,,0.0,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_59,False,62.0,20.1,36.13,12.175,26.13375,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_59,False,62.0,1.0,1.5,1.0,1.25,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_59,False,62.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_59,False,62.0,,,,142.8041671875,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_59,False,62.0,,,,1.0,3.0,2.0,3.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_63,False,89.0,20.738,38.425,11.63125,22.64472222222222,3.0,4.0,7.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_wait_turn,optimized_task_config_63,False,89.0,1.4,1.0,1.0,1.2222222222222223,3.0,4.0,7.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_idle_wait_turn,optimized_task_config_63,False,89.0,1.4,1.0,1.0,1.2222222222222223,3.0,4.0,7.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
var_mean_house_area,optimized_task_config_63,False,89.0,,,,88.69777808641976,3.0,4.0,7.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
Rop,optimized_task_config_63,False,89.0,,,,6.0,3.0,4.0,7.0,1.0,9.0,3.0,12.0,2.0,kwaitlist,,ver2,priority,house_type,2.0,house_type,,
mean_house_area,optimized_task_config_65,False,15.0,20.663666666666664,40.86,14.039583333333336,24.293303571428567,3.0,10.0,3.0,1.0,8.0,1.0,10.0,5.0,kwaitlist,,ver2,base,house_type,5.0,house_type,,False
mean_wait_turn,optimized_task_config_65,False,15.0,1.4666666666666666,1.7142857142857142,1.1666666666666667,1.4642857142857142,3.0,10.0,3.0,1.0,8.0,1.0,10.0,5.0,kwaitlist,,ver2,base,house_type,5.0,house_type,,False
mean_idle_wait_turn,optimized_task_config_65,False,15.0,1.3333333333333333,1.2857142857142858,1.1666666666666667,1.2857142857142858,3.0,10.0,3.0,1.0,8.0,1.0,10.0,5.0,kwaitlist,,ver2,base,house_type,5.0,house_type,,False
var_mean_house_area,optimized_task_config_65,False,15.0,,,,115.50461579772536,3.0,10.0,3.0,1.0,8.0,1.0,10.0,5.0,kwaitlist,,ver2,base,house_type,5.0,house_type,,False
