,ex_name,multi_ex,ex_idx,3>=family_num>=2,family_num=1,family_num>3,all,ex_len,distribution_batch_house_distribution_len,distribution_batch_house_distribution_step,distribution_batch_tenant_distribution_len,distribution_batch_tenant_distribution_step,environment_max_turns,order_k,order_type,order_waitlist_ratio,policy_type,group_policy_portion_attribute,group_policy_portion_settings,group_policy_priority,group_policy_type,tenant_max_choose,community_patch_method
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,True,7.0,,,,164.3237$\pm$7.6080,9.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_housesize,True,7.0,,,,230.5000$\pm$10.5000,9.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,False,32.0,5.081944444444445,14.651818181818184,5.7495,7.2769281045751635,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,False,32.0,5.333333333333333,5.0,4.5,5.098039215686274,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,False,32.0,,,,160.55175330855656,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#portion_rentmoney,False,32.0,,,,196.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,False,33.0,0.6677777777777778,22.60363636363636,0.0,5.268104575163398,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,random_avg
mean_wait_turn,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,False,33.0,6.566666666666666,3.8181818181818175,6.7,6.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,random_avg
var_mean_house_area,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,False,33.0,,,,182.84303976248447,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,random_avg
Rop,ver1_nofilter_multilist(1.2)_multilist_priority_8t_6h_p#random_avg,False,33.0,,,,244.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,True,multi_list,2.0,random_avg
mean_house_area,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,False,29.0,9.402166666666666,17.382727272727273,9.69475,11.180833333333332,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,[1],True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,False,29.0,3.3666666666666667,4.454545454545454,2.9,3.5098039215686274,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,[1],True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,False,29.0,,,,162.54435590958605,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,[1],True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion1(f_member_num)_priority_8t_6h_p#portion_housesize,False,29.0,,,,234.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,[1],True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,False,24.0,11.555666666666664,22.227272727272727,5.9275,12.753823529411765,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.5, 0.5]",True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,False,24.0,3.566666666666667,3.727272727272727,4.1,3.7058823529411766,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.5, 0.5]",True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,False,24.0,,,,195.0890238882481,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.5, 0.5]",True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion2(f_member_num)_priority_8t_6h_p#portion_housesize,False,24.0,,,,292.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.5, 0.5]",True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,53.0,11.9364$\pm$0.6503,14.4909$\pm$0.7609,7.8294$\pm$1.2379,11.6821$\pm$0.3039,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,53.0,3.1167$\pm$0.1167,5.6364$\pm$0.1818,3.6000$\pm$0.0000,3.7549$\pm$0.1078,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,53.0,,,,159.9076$\pm$9.4210,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,True,53.0,,,,254.5000$\pm$23.5000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,2.0,11.1291$\pm$0.0816,14.4518$\pm$0.0000,9.2159$\pm$0.1864,11.4706$\pm$0.0114,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,2.0,3.2833$\pm$0.0167,4.6818$\pm$0.0455,3.3000$\pm$0.2000,3.5882$\pm$0.0196,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,2.0,,,,159.3444$\pm$0.4517,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#portion_rent_money,True,2.0,,,,251.5000$\pm$1.5000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,True,40.0,7.7171$\pm$0.4072,26.5318$\pm$0.5300,2.8664$\pm$1.3664,10.8240$\pm$0.0859,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,True,40.0,4.6000$\pm$0.1333,3.6364$\pm$0.0909,5.8500$\pm$0.5500,4.6373$\pm$0.0490,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,True,40.0,,,,226.7425$\pm$8.0909,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
Rop,ver1_nofilter_multilist(1.2)_portion3(f_member_num)_priority_8t_6h_p#random_avg,True,40.0,,,,366.5000$\pm$19.5000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,True,26.0,10.4735$\pm$0.0342,21.3159$\pm$2.0368,6.2818$\pm$1.0083,11.9901$\pm$0.2215,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,True,26.0,3.6833$\pm$0.1833,4.1364$\pm$0.0455,4.3000$\pm$0.2000,3.9020$\pm$0.1373,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,True,26.0,,,,195.1307$\pm$8.9517,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_housesize,True,26.0,,,,276.0000$\pm$31.0000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,True,4.0,11.3129$\pm$0.6433,16.1095$\pm$1.8277,5.9893$\pm$0.8795,11.3036$\pm$0.1882,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,True,4.0,3.3500$\pm$0.2167,4.6818$\pm$0.4091,4.5000$\pm$0.4000,3.8627$\pm$0.0392,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,True,4.0,,,,163.7494$\pm$7.4002,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#portion_rent_money,True,4.0,,,,246.5000$\pm$4.5000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,True,59.0,8.9377$\pm$1.5241,18.6282$\pm$3.8100,3.7996$\pm$0.1266,10.0204$\pm$0.0499,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,True,59.0,4.0500$\pm$0.2500,5.1364$\pm$0.4091,4.6000$\pm$0.1000,4.3922$\pm$0.0784,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,True,59.0,,,,185.2973$\pm$15.6499,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
Rop,ver1_nofilter_multilist(1.2)_portion3(f_rent_money_budget)_priority_8t_6h_p#random_avg,True,59.0,,,,300.0000$\pm$10.0000,10.0000$\pm$0.0000,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,monthly_rent_budget,"[0.3, 0.4, 0.3]",True,portion,2.0,random_avg
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,56.0,11.054611111111113,21.23454545454545,5.702,12.200751633986926,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,56.0,3.566666666666667,3.727272727272727,5.1,3.901960784313725,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,56.0,,,,186.25638707121195,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_housesize,False,56.0,,,,281.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,12.0,10.255722222222222,22.883636363636363,5.66525,12.079297385620915,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_rentmoney
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,12.0,3.633333333333333,4.363636363636363,4.1,3.882352941176471,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_rentmoney
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,12.0,,,,207.53219766809767,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_rentmoney
Rop,ver1_nofilter_multilist(1.2)_portion4(f_member_num)_priority_8t_6h_p#portion_rent_money,False,12.0,,,,321.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.3, 0.3, 0.2]",True,portion,2.0,portion_rentmoney
mean_house_area,ver1_nofilter_multilist(1.2)_portion5(f_member_num)_priority_8t_6h_p#portion_housesize,False,63.0,10.314944444444446,33.26818181818182,4.09375,14.045800653594773,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.2, 0.2, 0.2, 0.2]",True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.2)_portion5(f_member_num)_priority_8t_6h_p#portion_housesize,False,63.0,3.7666666666666666,2.1818181818181817,4.8,3.627450980392157,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.2, 0.2, 0.2, 0.2]",True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.2)_portion5(f_member_num)_priority_8t_6h_p#portion_housesize,False,63.0,,,,245.25581206320223,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.2, 0.2, 0.2, 0.2]",True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.2)_portion5(f_member_num)_priority_8t_6h_p#portion_housesize,False,63.0,,,,406.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,family_members_num,"[0.2, 0.2, 0.2, 0.2, 0.2]",True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,13.0,12.603722222222222,9.837272727272728,7.656000000000001,11.0368954248366,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,13.0,3.1,5.363636363636363,3.5,3.6666666666666665,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,13.0,,,,133.23883973525136,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.5)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,13.0,,,,224.0,10.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.5,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,8.0,11.824666666666667,17.784545454545455,7.29875,12.222696078431373,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.8,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_wait_turn,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,8.0,3.1,4.2727272727272725,3.7,3.4705882352941178,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.8,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
var_mean_house_area,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,8.0,,,,172.51489993432014,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.8,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
Rop,ver1_nofilter_multilist(1.8)_portion3(f_member_num)_priority_8t_6h_p#portion_housesize,False,8.0,,,,273.0,8.0,6.0,1.0,8.0,1.0,10.0,2.0,kwaitlist,1.8,ver1,family_members_num,"[0.3, 0.4, 0.3]",True,portion,2.0,portion_housesize
mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,False,11.0,9.418333333333331,22.237272727272728,9.80375,12.25877450980392,10.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
mean_wait_turn,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,False,11.0,6.733333333333333,6.181818181818182,6.8,6.627450980392157,10.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
var_mean_house_area,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,False,11.0,,,,191.52334415449192,10.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
Rop,ver1_nofilter_singlelist_1t_6h(step_num(t1_h1)_p#singlelist,False,11.0,,,,263.0,10.0,6.0,1.0,1.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t1_h1))_p#singlelist,False,62.0,9.955944444444444,22.98909090909091,8.230500000000001,12.428692810457516,10.0,6.0,1.0,2.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
mean_wait_turn,ver1_nofilter_singlelist_2t_6h(step_num(t1_h1))_p#singlelist,False,62.0,6.1,6.0,6.8,6.215686274509804,10.0,6.0,1.0,2.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
var_mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t1_h1))_p#singlelist,False,62.0,,,,197.6549812977915,10.0,6.0,1.0,2.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
Rop,ver1_nofilter_singlelist_2t_6h(step_num(t1_h1))_p#singlelist,False,62.0,,,,276.0,10.0,6.0,1.0,2.0,1.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,False,20.0,10.4335,22.75636363636364,4.828749999999999,11.992401960784314,10.0,6.0,1.0,2.0,3.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
mean_wait_turn,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,False,20.0,5.333333333333333,4.636363636363637,5.5,5.215686274509804,10.0,6.0,1.0,2.0,3.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
var_mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,False,20.0,,,,203.9013460415866,10.0,6.0,1.0,2.0,3.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
Rop,ver1_nofilter_singlelist_2t_6h(step_num(t3_h1))_p#singlelist,False,20.0,,,,331.0,10.0,6.0,1.0,2.0,3.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
mean_house_area,ver1_nofilter_singlelist_2t_6h(step_num(t5_h1))_p#singlelist,False,51.0,7.837666666666667,27.38,7.69375,12.024460784313725,10.0,6.0,1.0,2.0,5.0,10.0,2.0,kwaitlist,1.2,ver1,,,False,single_list,2.0,single_list
